country,activeDuty,paramilitary,reserves,total,pop2022
China,2185000,660000,1170000,4015000,1425887.337
India,1455550,2526950,1155000,5137500,1417173.173
United States,1388100,0,844950,2233050,338289.857
North Korea,1280000,5889000,600000,7769000,26069.416
Russia,1014000,554000,2000000,3568000,144713.314
Pakistan,654000,291000,550000,1495000,235824.862
Iran,610000,40000,350000,1000000,88550.57
South Korea,599000,3013500,3100000,6712500,51815.81
Vietnam,482000,5040000,5000000,10522000,98186.856
Egypt,438500,397000,479000,1314500,110990.103
Myanmar,406000,107000,0,513000,54179.306
Indonesia,395500,280000,400000,1075500,275501.339
Brazil,366500,395000,1340000,2101500,215313.498
Thailand,360850,138700,200000,699550,71697.03
Turkey,355200,156800,378700,890700,85341.241
Colombia,293200,187900,34950,516050,51874.024
Sri Lanka,255000,92600,5500,353100,21832.143
Japan,247150,14350,56000,317500,123951.692
Saudi Arabia,227000,24500,0,251500,36408.82
Mexico,216000,111900,81500,409400,127504.125
Ukraine,209000,102000,900000,1211000,39701.739
France,203250,130800,41050,375100,64626.628
Eritrea,201750,0,120000,321750,3684.032
Morocco,195800,50000,150000,395800,37457.971
Iraq,193000,148000,0,341000,44496.122
South Sudan,185000,0,0,185000,10913.164
Germany,183500,0,30050,213550,83369.843
Afghanistan,178800,99000,0,277800,41128.771
Israel,169500,8000,465000,642500,9038.309
Syria,169000,100000,0,269000,22125.249
Italy,165500,175750,18300,359550,59037.474
Bangladesh,163050,63900,0,226950,171186.372
Taiwan,163000,11800,1657000,1831800,23893.394
United Kingdom,148500,0,78600,227100,67508.936
Philippines,143100,62300,131000,336400,115559.009
Nigeria,143000,80000,0,223000,218541.212
Greece,142700,4000,221350,368050,10384.971
Ethiopia,138000,0,0,138000,123379.924
DR Congo,134250,0,0,134250,99010.212
Algeria,130000,187200,150000,467200,44903.225
Azerbaijan,126950,15000,330000,471950,10358.074
Cambodia,124300,67000,0,191300,16767.842
Venezuela,123000,220000,8000,351000,28301.696
Spain,120350,75800,15150,211300,47558.63
Poland,114050,75400,0,189450,39857.145
Malaysia,113000,267200,51600,431800,33938.221
Angola,107000,10000,0,117000,35588.987
Sudan,104300,105000,0,209300,46874.204
Jordan,100500,15000,65000,180500,11285.869
Nepal,96600,15000,0,111600,30547.58
Peru,81000,77000,188000,346000,34049.588
Chile,77200,44700,40000,161900,19603.733
Argentina,72100,31250,0,103350,45510.318
Romania,69300,57000,50000,176300,19659.267
Canada,67400,4500,35600,107500,38454.327
South Africa,65350,0,15050,80400,59893.885
United Arab Emirates,63000,0,0,63000,9441.129
Lebanon,60000,20000,0,80000,5489.739
Australia,58600,0,30100,88700,26177.413
Dominican Republic,56050,15000,0,71050,11228.821
Singapore,51000,7400,252500,310900,5975.689
Cuba,49000,1146500,39000,1234500,11212.191
Uzbekistan,48000,20000,0,68000,34627.652
Belarus,45350,110000,289500,444850,9534.954
Uganda,45000,1400,10000,56400,47249.585
Armenia,44800,4300,210000,259100,2780.469
Oman,42600,4400,0,47000,4576.298
Ecuador,40250,500,118000,158750,18001
Yemen,40000,0,0,40000,33696.614
Kazakhstan,39000,31500,0,70500,19397.998
Bulgaria,36950,0,3000,39950,6781.953
Turkmenistan,36500,5000,0,41500,6430.77
Tunisia,35800,12000,0,47800,12356.117
Netherlands,35400,5900,4500,45800,17564.014
Bolivia,34100,37100,0,71200,12224.11
Chad,33250,11900,0,45150,17723.315
Rwanda,33000,2000,0,35000,13776.698
Burundi,30050,21000,0,51050,12889.576
Sweden,29750,21200,0,50950,10549.347
Laos,29100,100000,0,129100,7529.475
Zimbabwe,29000,21800,0,50800,16320.537
Serbia,28150,3700,50150,82000,7221.365
Hungary,27800,12000,20000,59800,9967.308
Ivory Coast,27400,0,0,27400,28160.542
Portugal,27250,24700,211700,263650,10270.865
Tanzania,27000,1400,80000,108400,65497.748
Belgium,26300,0,5100,31400,11655.93
Cameroon,25400,9000,0,34400,27914.536
El Salvador,24500,17000,9900,51400,6336.392
Kenya,24100,5000,0,29100,54027.487
Finland,23800,14200,216000,254000,5540.745
Norway,23250,0,40000,63250,5434.319
Austria,22050,0,125600,147650,8939.617
Czech Republic,21750,0,0,21750,10493.986
Uruguay,21000,1400,0,22400,3422.794
Georgia,20650,5400,0,26050,3744.385
Lithuania,19850,14400,6700,40950,2750.055
Somalia,19800,0,0,19800,17597.511
Switzerland,19550,0,196450,216000,8740.472
Guatemala,18050,25000,63850,106900,17843.908
Kuwait,17500,7100,23700,48300,4268.873
Qatar,16500,5000,0,21500,2695.122
Mauritania,15850,5000,0,20850,4736.139
Slovakia,15850,0,0,15850,5643.453
Ghana,15500,0,0,15500,33475.87
Croatia,15200,3000,18350,36550,4030.358
Zambia,15100,1400,3000,19500,20017.675
Cyprus,15000,750,50000,65750,1251.488
Honduras,14950,8000,60000,82950,10432.86
Denmark,14500,0,44000,58500,5882.261
Paraguay,13950,14800,164500,193250,6780.744
Senegal,13600,5000,0,18600,17316.449
Madagascar,13500,8100,0,21600,29611.714
Mali,13000,7800,0,20800,22593.59
Nicaragua,12000,0,0,12000,6948.392
Burkina Faso,11200,250,0,11450,22673.762
Mozambique,11200,0,0,11200,32969.518
Kyrgyzstan,10900,9500,0,20400,6630.623
Malawi,10700,4200,0,14900,20405.317
Bosnia and Herzegovina,10500,0,0,10500,3233.526
Djibouti,10450,2650,0,13100,1120.849
Republic of the Congo,10000,2000,0,12000,5970.424
Namibia,9900,6000,0,15900,2567.012
Mongolia,9700,7500,137000,154200,3398.366
Guinea,9700,2600,0,12300,13859.341
Ireland,9500,0,4050,13550,5023.109
Central African Republic,9150,1000,0,10150,5579.144
New Zealand,9000,0,2300,11300,5185.288
Botswana,9000,0,0,9000,2630.296
Tajikistan,8800,7500,0,16300,9952.787
Togo,8550,750,0,9300,8848.699
Sierra Leone,8500,0,0,8500,8605.718
Bahrain,8200,11260,0,19460,1472.233
North Macedonia,8000,7600,4850,20450,2093.599
Albania,8000,0,0,8000,2842.321
Slovenia,7250,5950,1500,14700,2119.844
Benin,7250,4800,0,12050,13352.864
Brunei,7200,450,700,8350,449.002
Estonia,7100,0,17500,24600,1326.062
Latvia,6210,0,15900,22110,1850.651
Niger,5300,5400,0,10700,26207.977
Moldova,5150,900,58000,64050,3272.996
Gabon,4700,2000,0,6700,2388.992
Guinea-Bissau,4450,0,0,4450,2105.566
Trinidad and Tobago,4050,0,0,4050,1531.044
Jamaica,3950,0,980,4930,2827.377
Papua New Guinea,3600,0,0,3600,10142.619
Fiji,3500,0,6000,9500,929.766
Guyana,3400,0,670,4070,808.726
Montenegro,2350,10100,0,12450,627.082
Liberia,2010,0,0,2010,5302.681
Lesotho,2000,0,0,2000,2305.825
Malta,1950,0,180,2130,533.286
Suriname,1840,0,0,1840,618.04
Belize,1500,150,700,2350,405.272
Equatorial Guinea,1450,0,0,1450,1674.908
Bahamas,1300,0,0,1300,409.984
Cape Verde,1200,0,0,1200,593.149
Luxembourg,900,600,0,1500,647.599
Gambia,800,0,0,800,2705.992
Barbados,610,0,430,1040,281.635
Seychelles,420,0,0,420,107.118
Antigua and Barbuda,180,0,80,260,93.763
Haiti,150,50,0,200,11584.996
Panama,0,26000,0,26000,4408.581
Costa Rica,0,9800,0,9800,5180.829
Mauritius,0,2550,0,2550,1299.469
Iceland,0,250,0,250,372.899