Country,number,year
United States,2,1945
United States,9,1946
United States,13,1947
United States,50,1948
United States,170,1949
United States,299,1950
United States,438,1951
United States,841,1952
United States,"1,169",1953
United States,"1,703",1954
United States,"2,422",1955
United States,"3,692",1956
United States,"5,543",1957
United States,"7,345",1958
United States,"12,298",1959
United States,"18,638",1960
United States,"22,229",1961
United States,"25,540",1962
United States,"28,133",1963
United States,"29,463",1964
United States,"31,139",1965
United States,"31,175",1966
United States,"31,255",1967
United States,"29,561",1968
United States,"27,552",1969
United States,"26,008",1970
United States,"25,830",1971
United States,"26,516",1972
United States,"27,835",1973
United States,"28,537",1974
United States,"27,519",1975
United States,"25,914",1976
United States,"25,542",1977
United States,"24,418",1978
United States,"24,138",1979
United States,"24,104",1980
United States,"23,208",1981
United States,"22,886",1982
United States,"23,305",1983
United States,"23,459",1984
United States,"23,368",1985
United States,"23,317",1986
United States,"23,575",1987
United States,"23,205",1988
United States,"22,217",1989
United States,"21,392",1990
United States,"19,008",1991
United States,"13,708",1992
United States,"11,511",1993
United States,"10,979",1994
United States,"10,904",1995
United States,"11,011",1996
United States,"10,903",1997
United States,"10,732",1998
United States,"10,685",1999
United States,"10,577",2000
United States,"10,526",2001
United States,"10,457",2002
United States,"10,027",2003
United States,"8,570",2004
United States,"8,360",2005
United States,"7,853",2006
United States,"5,709",2007
United States,"5,273",2008
United States,"5,113",2009
United States,"5,066",2010
United States,"4,897",2011
United States,"4,881",2012
United States,"4,804",2013
United States,"4,717",2014
United States,"4,571",2015
United States,"4,018",2016
United States,"3,822",2017
United States,"3,785",2018
United States,"3,805",2019
United States,"3,750",2020
United States,"3,708",2021
United States,"3,708",2022
USSR/Russia,0,1945
USSR/Russia,0,1946
USSR/Russia,0,1947
USSR/Russia,0,1948
USSR/Russia,1,1949
USSR/Russia,5,1950
USSR/Russia,25,1951
USSR/Russia,50,1952
USSR/Russia,120,1953
USSR/Russia,150,1954
USSR/Russia,200,1955
USSR/Russia,426,1956
USSR/Russia,660,1957
USSR/Russia,863,1958
USSR/Russia,"1,048",1959
USSR/Russia,"1,627",1960
USSR/Russia,"2,492",1961
USSR/Russia,"3,346",1962
USSR/Russia,"4,259",1963
USSR/Russia,"5,242",1964
USSR/Russia,"6,144",1965
USSR/Russia,"7,091",1966
USSR/Russia,"8,400",1967
USSR/Russia,"9,490",1968
USSR/Russia,"10,671",1969
USSR/Russia,"11,736",1970
USSR/Russia,"13,279",1971
USSR/Russia,"14,600",1972
USSR/Russia,"15,878",1973
USSR/Russia,"17,286",1974
USSR/Russia,"19,235",1975
USSR/Russia,"22,165",1976
USSR/Russia,"24,281",1977
USSR/Russia,"26,169",1978
USSR/Russia,"28,258",1979
USSR/Russia,"30,665",1980
USSR/Russia,"32,146",1981
USSR/Russia,"33,486",1982
USSR/Russia,"35,130",1983
USSR/Russia,"36,825",1984
USSR/Russia,"38,582",1985
USSR/Russia,"40,159",1986
USSR/Russia,"38,107",1987
USSR/Russia,"36,538",1988
USSR/Russia,"35,078",1989
USSR/Russia,"32,980",1990
USSR/Russia,"29,154",1991
USSR/Russia,"26,734",1992
USSR/Russia,"24,403",1993
USSR/Russia,"21,339",1994
USSR/Russia,"18,179",1995
USSR/Russia,"15,942",1996
USSR/Russia,"15,442",1997
USSR/Russia,"14,368",1998
USSR/Russia,"13,188",1999
USSR/Russia,"12,188",2000
USSR/Russia,"11,152",2001
USSR/Russia,"10,114",2002
USSR/Russia,"9,076",2003
USSR/Russia,"8,038",2004
USSR/Russia,"7,000",2005
USSR/Russia,"6,643",2006
USSR/Russia,"6,286",2007
USSR/Russia,"5,929",2008
USSR/Russia,"5,527",2009
USSR/Russia,"5,215",2010
USSR/Russia,"4,858",2011
USSR/Russia,"4,750",2012
USSR/Russia,"4,650",2013
USSR/Russia,"4,600",2014
USSR/Russia,"4,500",2015
USSR/Russia,"4,490",2016
USSR/Russia,"4,300",2017
USSR/Russia,"4,350",2018
USSR/Russia,"4,330",2019
USSR/Russia,"4,310",2020
USSR/Russia,"4,495",2021
USSR/Russia,"4,477",2022
United Kingdom,0,1945
United Kingdom,0,1946
United Kingdom,0,1947
United Kingdom,0,1948
United Kingdom,0,1949
United Kingdom,0,1950
United Kingdom,0,1951
United Kingdom,0,1952
United Kingdom,1,1953
United Kingdom,5,1954
United Kingdom,10,1955
United Kingdom,50,1956
United Kingdom,58,1957
United Kingdom,60,1958
United Kingdom,78,1959
United Kingdom,105,1960
United Kingdom,155,1961
United Kingdom,211,1962
United Kingdom,256,1963
United Kingdom,271,1964
United Kingdom,271,1965
United Kingdom,281,1966
United Kingdom,355,1967
United Kingdom,317,1968
United Kingdom,306,1969
United Kingdom,375,1970
United Kingdom,412,1971
United Kingdom,423,1972
United Kingdom,500,1973
United Kingdom,500,1974
United Kingdom,500,1975
United Kingdom,500,1976
United Kingdom,500,1977
United Kingdom,500,1978
United Kingdom,500,1979
United Kingdom,500,1980
United Kingdom,500,1981
United Kingdom,385,1982
United Kingdom,380,1983
United Kingdom,350,1984
United Kingdom,350,1985
United Kingdom,350,1986
United Kingdom,350,1987
United Kingdom,350,1988
United Kingdom,350,1989
United Kingdom,350,1990
United Kingdom,350,1991
United Kingdom,250,1992
United Kingdom,250,1993
United Kingdom,250,1994
United Kingdom,234,1995
United Kingdom,203,1996
United Kingdom,203,1997
United Kingdom,240,1998
United Kingdom,240,1999
United Kingdom,280,2000
United Kingdom,280,2001
United Kingdom,280,2002
United Kingdom,280,2003
United Kingdom,280,2004
United Kingdom,280,2005
United Kingdom,225,2006
United Kingdom,225,2007
United Kingdom,225,2008
United Kingdom,225,2009
United Kingdom,225,2010
United Kingdom,225,2011
United Kingdom,225,2012
United Kingdom,225,2013
United Kingdom,220,2014
United Kingdom,215,2015
United Kingdom,215,2016
United Kingdom,215,2017
United Kingdom,210,2018
United Kingdom,205,2019
United Kingdom,195,2020
United Kingdom,180,2021
United Kingdom,180,2022
France,0,1945
France,0,1946
France,0,1947
France,0,1948
France,0,1949
France,0,1950
France,0,1951
France,0,1952
France,0,1953
France,0,1954
France,0,1955
France,0,1956
France,0,1957
France,0,1958
France,0,1959
France,0,1960
France,0,1961
France,0,1962
France,0,1963
France,4,1964
France,32,1965
France,36,1966
France,36,1967
France,36,1968
France,36,1969
France,36,1970
France,45,1971
France,70,1972
France,116,1973
France,145,1974
France,188,1975
France,212,1976
France,228,1977
France,235,1978
France,235,1979
France,250,1980
France,274,1981
France,274,1982
France,279,1983
France,280,1984
France,360,1985
France,355,1986
France,420,1987
France,410,1988
France,410,1989
France,505,1990
France,540,1991
France,540,1992
France,525,1993
France,510,1994
France,500,1995
France,450,1996
France,450,1997
France,450,1998
France,450,1999
France,470,2000
France,350,2001
France,350,2002
France,350,2003
France,350,2004
France,350,2005
France,350,2006
France,350,2007
France,300,2008
France,300,2009
France,300,2010
France,300,2011
France,300,2012
France,300,2013
France,300,2014
France,300,2015
France,300,2016
France,300,2017
France,300,2018
France,300,2019
France,290,2020
France,290,2021
France,290,2022
China,0,1945
China,0,1946
China,0,1947
China,0,1948
China,0,1949
China,0,1950
China,0,1951
China,0,1952
China,0,1953
China,0,1954
China,0,1955
China,0,1956
China,0,1957
China,0,1958
China,0,1959
China,0,1960
China,0,1961
China,0,1962
China,0,1963
China,1,1964
China,5,1965
China,20,1966
China,25,1967
China,35,1968
China,50,1969
China,75,1970
China,100,1971
China,130,1972
China,150,1973
China,170,1974
China,180,1975
China,180,1976
China,180,1977
China,190,1978
China,195,1979
China,205,1980
China,210,1981
China,216,1982
China,218,1983
China,220,1984
China,222,1985
China,224,1986
China,226,1987
China,228,1988
China,230,1989
China,232,1990
China,234,1991
China,234,1992
China,234,1993
China,234,1994
China,234,1995
China,234,1996
China,232,1997
China,232,1998
China,232,1999
China,232,2000
China,235,2001
China,235,2002
China,235,2003
China,235,2004
China,235,2005
China,235,2006
China,235,2007
China,235,2008
China,240,2009
China,240,2010
China,240,2011
China,240,2012
China,250,2013
China,250,2014
China,260,2015
China,260,2016
China,270,2017
China,280,2018
China,290,2019
China,350,2020
China,350,2021
China,350,2022
Israel,0,1945
Israel,0,1946
Israel,0,1947
Israel,0,1948
Israel,0,1949
Israel,0,1950
Israel,0,1951
Israel,0,1952
Israel,0,1953
Israel,0,1954
Israel,0,1955
Israel,0,1956
Israel,0,1957
Israel,0,1958
Israel,0,1959
Israel,0,1960
Israel,0,1961
Israel,0,1962
Israel,0,1963
Israel,0,1964
Israel,0,1965
Israel,0,1966
Israel,2,1967
Israel,4,1968
Israel,6,1969
Israel,8,1970
Israel,11,1971
Israel,13,1972
Israel,15,1973
Israel,17,1974
Israel,20,1975
Israel,22,1976
Israel,24,1977
Israel,26,1978
Israel,29,1979
Israel,31,1980
Israel,33,1981
Israel,35,1982
Israel,38,1983
Israel,40,1984
Israel,42,1985
Israel,44,1986
Israel,47,1987
Israel,49,1988
Israel,51,1989
Israel,53,1990
Israel,56,1991
Israel,58,1992
Israel,60,1993
Israel,62,1994
Israel,63,1995
Israel,64,1996
Israel,66,1997
Israel,68,1998
Israel,70,1999
Israel,72,2000
Israel,74,2001
Israel,76,2002
Israel,78,2003
Israel,80,2004
Israel,80,2005
Israel,80,2006
Israel,80,2007
Israel,80,2008
Israel,80,2009
Israel,80,2010
Israel,80,2011
Israel,80,2012
Israel,80,2013
Israel,80,2014
Israel,80,2015
Israel,80,2016
Israel,80,2017
Israel,80,2018
Israel,80,2019
Israel,90,2020
Israel,90,2021
Israel,90,2022
India,0,1945
India,0,1946
India,0,1947
India,0,1948
India,0,1949
India,0,1950
India,0,1951
India,0,1952
India,0,1953
India,0,1954
India,0,1955
India,0,1956
India,0,1957
India,0,1958
India,0,1959
India,0,1960
India,0,1961
India,0,1962
India,0,1963
India,0,1964
India,0,1965
India,0,1966
India,0,1967
India,0,1968
India,0,1969
India,0,1970
India,0,1971
India,0,1972
India,0,1973
India,0,1974
India,0,1975
India,0,1976
India,0,1977
India,0,1978
India,0,1979
India,0,1980
India,0,1981
India,0,1982
India,0,1983
India,0,1984
India,0,1985
India,0,1986
India,0,1987
India,0,1988
India,0,1989
India,0,1990
India,0,1991
India,0,1992
India,0,1993
India,0,1994
India,0,1995
India,0,1996
India,0,1997
India,3,1998
India,8,1999
India,13,2000
India,18,2001
India,23,2002
India,28,2003
India,33,2004
India,38,2005
India,43,2006
India,50,2007
India,60,2008
India,70,2009
India,80,2010
India,90,2011
India,100,2012
India,110,2013
India,100,2014
India,110,2015
India,120,2016
India,130,2017
India,140,2018
India,140,2019
India,150,2020
India,160,2021
India,160,2022
Pakistan,0,1945
Pakistan,0,1946
Pakistan,0,1947
Pakistan,0,1948
Pakistan,0,1949
Pakistan,0,1950
Pakistan,0,1951
Pakistan,0,1952
Pakistan,0,1953
Pakistan,0,1954
Pakistan,0,1955
Pakistan,0,1956
Pakistan,0,1957
Pakistan,0,1958
Pakistan,0,1959
Pakistan,0,1960
Pakistan,0,1961
Pakistan,0,1962
Pakistan,0,1963
Pakistan,0,1964
Pakistan,0,1965
Pakistan,0,1966
Pakistan,0,1967
Pakistan,0,1968
Pakistan,0,1969
Pakistan,0,1970
Pakistan,0,1971
Pakistan,0,1972
Pakistan,0,1973
Pakistan,0,1974
Pakistan,0,1975
Pakistan,0,1976
Pakistan,0,1977
Pakistan,0,1978
Pakistan,0,1979
Pakistan,0,1980
Pakistan,0,1981
Pakistan,0,1982
Pakistan,0,1983
Pakistan,0,1984
Pakistan,0,1985
Pakistan,0,1986
Pakistan,0,1987
Pakistan,0,1988
Pakistan,0,1989
Pakistan,0,1990
Pakistan,0,1991
Pakistan,0,1992
Pakistan,0,1993
Pakistan,0,1994
Pakistan,0,1995
Pakistan,0,1996
Pakistan,0,1997
Pakistan,2,1998
Pakistan,8,1999
Pakistan,14,2000
Pakistan,20,2001
Pakistan,26,2002
Pakistan,32,2003
Pakistan,38,2004
Pakistan,44,2005
Pakistan,50,2006
Pakistan,60,2007
Pakistan,70,2008
Pakistan,80,2009
Pakistan,90,2010
Pakistan,100,2011
Pakistan,110,2012
Pakistan,115,2013
Pakistan,120,2014
Pakistan,125,2015
Pakistan,130,2016
Pakistan,140,2017
Pakistan,150,2018
Pakistan,150,2019
Pakistan,160,2020
Pakistan,165,2021
Pakistan,165,2022
South Africa,0,1945
South Africa,0,1946
South Africa,0,1947
South Africa,0,1948
South Africa,0,1949
South Africa,0,1950
South Africa,0,1951
South Africa,0,1952
South Africa,0,1953
South Africa,0,1954
South Africa,0,1955
South Africa,0,1956
South Africa,0,1957
South Africa,0,1958
South Africa,0,1959
South Africa,0,1960
South Africa,0,1961
South Africa,0,1962
South Africa,0,1963
South Africa,0,1964
South Africa,0,1965
South Africa,0,1966
South Africa,0,1967
South Africa,0,1968
South Africa,0,1969
South Africa,0,1970
South Africa,0,1971
South Africa,0,1972
South Africa,0,1973
South Africa,0,1974
South Africa,0,1975
South Africa,0,1976
South Africa,0,1977
South Africa,0,1978
South Africa,0,1979
South Africa,0,1980
South Africa,0,1981
South Africa,3,1982
South Africa,3,1983
South Africa,3,1984
South Africa,3,1985
South Africa,3,1986
South Africa,4,1987
South Africa,5,1988
South Africa,6,1989
South Africa,0,1990
South Africa,0,1991
South Africa,0,1992
South Africa,0,1993
South Africa,0,1994
South Africa,0,1995
South Africa,0,1996
South Africa,0,1997
South Africa,0,1998
South Africa,0,1999
South Africa,0,2000
South Africa,0,2001
South Africa,0,2002
South Africa,0,2003
South Africa,0,2004
South Africa,0,2005
South Africa,0,2006
South Africa,0,2007
South Africa,0,2008
South Africa,0,2009
South Africa,0,2010
South Africa,0,2011
South Africa,0,2012
South Africa,0,2013
South Africa,0,2014
South Africa,0,2015
South Africa,0,2016
South Africa,0,2017
South Africa,0,2018
South Africa,0,2019
South Africa,0,2020
South Africa,0,2021
South Africa,0,2022
North Korea,0,1945
North Korea,0,1946
North Korea,0,1947
North Korea,0,1948
North Korea,0,1949
North Korea,0,1950
North Korea,0,1951
North Korea,0,1952
North Korea,0,1953
North Korea,0,1954
North Korea,0,1955
North Korea,0,1956
North Korea,0,1957
North Korea,0,1958
North Korea,0,1959
North Korea,0,1960
North Korea,0,1961
North Korea,0,1962
North Korea,0,1963
North Korea,0,1964
North Korea,0,1965
North Korea,0,1966
North Korea,0,1967
North Korea,0,1968
North Korea,0,1969
North Korea,0,1970
North Korea,0,1971
North Korea,0,1972
North Korea,0,1973
North Korea,0,1974
North Korea,0,1975
North Korea,0,1976
North Korea,0,1977
North Korea,0,1978
North Korea,0,1979
North Korea,0,1980
North Korea,0,1981
North Korea,0,1982
North Korea,0,1983
North Korea,0,1984
North Korea,0,1985
North Korea,0,1986
North Korea,0,1987
North Korea,0,1988
North Korea,0,1989
North Korea,0,1990
North Korea,0,1991
North Korea,0,1992
North Korea,0,1993
North Korea,0,1994
North Korea,0,1995
North Korea,0,1996
North Korea,0,1997
North Korea,0,1998
North Korea,0,1999
North Korea,0,2000
North Korea,0,2001
North Korea,0,2002
North Korea,0,2003
North Korea,0,2004
North Korea,0,2005
North Korea,0,2006
North Korea,0,2007
North Korea,0,2008
North Korea,0,2009
North Korea,0,2010
North Korea,0,2011
North Korea,0,2012
North Korea,0,2013
North Korea,0,2014
North Korea,5,2015
North Korea,10,2016
North Korea,15,2017
North Korea,20,2018
North Korea,25,2019
North Korea,35,2020
North Korea,20,2021
North Korea,20,2022